DATE,LOCUS,WOANBL
2019-06-24,ARWEB,6
2019-06-24,NL,22092
2019-06-24,TL,1
2019-06-25,NL,25268
2019-06-25,TL,7
2019-06-26,ARWEB,15
2019-06-26,NL,17200
2019-06-26,NLECO,1
2019-06-27,NL,18152
2019-06-27,NLECO,37
2019-06-27,NWECO,2
2019-06-27,PHKER,1689
2019-06-27,TL,4
2019-06-28,NL,5434
2019-06-28,TL,2
2019-06-29,NL,3800
2019-06-30,NL,15146
2019-07-01,ARWEB,27
2019-07-01,NL,20588
2019-07-01,NLECO,18
2019-07-01,NWECO,5
2019-07-01,NWKL,1224
2019-07-01,PHKER,1856
2019-07-01,TL,7
2019-07-02,NL,24706
2019-07-02,NLECO,47
2019-07-02,PHKER,2121
2019-07-02,TL,6
2019-07-03,ARWEB,20
2019-07-03,NL,18923
2019-07-03,NLECO,2
2019-07-03,NWKL,73
2019-07-04,NL,21834
2019-07-04,NLECO,23
2019-07-04,NWDSP,2
2019-07-04,PHKER,1461
2019-07-04,TL,12
2019-07-05,ARWEB,15
2019-07-05,NL,12
2019-07-05,NLECO,1
2019-07-05,PHKER,3226
2019-07-05,TL,3
2019-07-06,NL,4290
2019-07-07,NL,17904
2019-07-08,ARWEB,11
2019-07-08,NL,24391
2019-07-08,NLECO,50
2019-07-08,TL,9
2019-07-09,ARWEB,1
2019-07-09,NL,35724
2019-07-09,PHKER,3081
2019-07-09,TL,9
2019-07-10,ARWEB,15
2019-07-10,NL,25477
2019-07-10,TL,3
2019-07-11,NL,27557
2019-07-11,TL,11
2019-07-12,ARWEB,14
2019-07-12,NL,22
2019-07-12,TL,1
2019-07-13,NL,3756
2019-07-14,NL,22611
2019-07-15,ARWEB,14
2019-07-15,NL,21197
2019-07-16,NL,27549
2019-07-16,TL,7
2019-07-17,ARWEB,9
2019-07-17,NL,20377
2019-07-17,NLECO,1
2019-07-17,PHKER,88
2019-07-17,TL,7
2019-07-18,NL,24172
2019-07-18,NWDSP,45
2019-07-18,NWECO,164
2019-07-18,NWKL,1641
2019-07-18,V2ND,28
2019-07-19,ARWEB,14
2019-07-19,NL,208
2019-07-20,NL,3034
2019-07-21,NL,20136
2019-07-22,ARWEB,17
2019-07-22,NL,20877
2019-07-22,TL,8
2019-07-23,NL,25107
2019-07-23,TL,7
2019-07-24,ARWEB,20
2019-07-24,NL,17933
2019-07-24,TL,1
2019-07-25,ARWEB,1
2019-07-25,NL,25817
2019-07-25,TL,10
2019-07-26,ARWEB,12
2019-07-26,NL,177
2019-07-26,TL,3
2019-07-27,NL,3247
2019-07-28,NL,17727
2019-07-29,ARWEB,14
2019-07-29,NL,20765
2019-07-29,TL,19
2019-07-30,ARWEB,1
2019-07-30,NL,24744
2019-07-30,TL,14
2019-07-31,ARWEB,45
2019-07-31,NL,18773
2019-07-31,NWKL,1249
2019-07-31,TL,2
2019-08-01,NL,24751
2019-08-01,TL,5
2019-08-02,ARWEB,14
2019-08-02,NL,82
2019-08-02,TL,10
2019-08-03,NL,12654
2019-08-04,NL,22392
2019-08-05,ARWEB,31
2019-08-05,NL,36357
2019-08-05,TL,16
2019-08-06,ARWEB,1
2019-08-06,NL,32747
2019-08-06,PHKER,649
2019-08-06,TL,15
2019-08-07,ARWEB,14
2019-08-07,EXT,5
2019-08-07,NL,28206
2019-08-07,NWDSP,47
2019-08-07,NWECO,212
2019-08-07,NWKL,1043
2019-08-07,TL,40
2019-08-08,EXT,6
