DATE,SECONDSSPENT,FORECAST
2023-06-26,1755645.0,1279002.0485555194
2023-06-27,1461530.0,1412867.7390072278
2023-06-28,1831552.0,1423299.178076985
2023-06-29,1395083.0,1558848.9096579782
2023-06-30,3600.0,1190329.8669583376
2023-07-01,3600.0,45894.18190541389
2023-07-02,3600.0,1023.4878060990434
2023-07-03,833449.0,973776.1467328101
2023-07-04,1020230.0,832244.3064049238
2023-07-05,898661.0,914193.7373622233
2023-07-06,838718.0,858364.3454648688
2023-07-07,664364.0,672879.5711061127
2023-07-08,3600.0,51601.206417714646
2023-07-09,3600.0,1187.8214117829655
2023-07-10,1129524.0,982950.9872178455
2023-07-11,1134578.0,979683.1800392648
2023-07-12,992222.0,1043556.6535998025
2023-07-13,872756.0,966174.2616585734
2023-07-14,544651.0,730556.0191466472
2023-07-15,3600.0,48739.89459233886
2023-07-16,3600.0,1159.3378519653975
2023-07-17,809239.0,959140.5934978916
2023-07-18,1117053.0,818077.291524129
2023-07-19,1212257.0,952301.8931604343
2023-07-20,1212211.0,1028178.2734058466
2023-07-21,3600.0,891530.4540583988
2023-07-22,3600.0,33745.28656907353
2023-07-23,3600.0,842.2050108316071
2023-07-24,884921.0,874499.9013244731
2023-07-25,1514598.0,818598.7312687802
2023-07-26,1162448.0,1150599.015016638
2023-07-27,1170973.0,1099023.9719126937
2023-07-28,1233137.0,893161.177093598
2023-07-29,3600.0,81458.4428096296
2023-07-30,3600.0,2053.4248707651714
2023-07-31,921154.0,1081747.291229342
2023-08-01,1113215.0,942009.8263402947
2023-08-02,1103799.0,1003494.0200946049
2023-08-03,1073300.0,1000835.8706789977
2023-08-04,961447.0,817924.8905219369
2023-08-05,3600.0,67139.35589891265
2023-08-06,3600.0,1731.5252672081674
2023-08-07,1371141.0,1010366.5388936099
2023-08-08,977579.0,1126879.025988533
2023-08-09,753463.0,1027296.6212381914
2023-08-10,466652.0,843681.0708127127
2023-08-11,560227.0,513538.5978267517
2023-08-12,3600.0,39763.51228850578
2023-08-13,3600.0,1068.8644835363225
2023-08-14,441602.0,876871.9126600146
2023-08-15,3600.0,614854.5777448764
2023-08-16,1368419.0,292124.3492962616
2023-08-17,1057736.0,784937.6159404428
2023-08-18,868794.0,730785.6888141347
2023-08-19,3600.0,59047.18824204875
2023-08-20,3600.0,1614.942952173082
2023-08-21,1247115.0,953816.6694811402
2023-08-22,1073066.0,1030944.8741460135
2023-08-23,961466.0,1075177.0695271767
2023-08-24,1108381.0,934345.7718826281
2023-08-25,642270.0,810107.0958842218
2023-08-26,3600.0,52955.02728539352
2023-08-27,3600.0,1487.110348956855
2023-08-28,877605.0,921736.7572887853
2023-08-29,876346.0,838408.35016281
2023-08-30,939992.0,872758.1861565749
2023-08-31,1072485.0,832987.8065758756
2023-09-01,818886.0,752260.5603592881
2023-09-02,42183.0,56946.77478898677
2023-09-03,3600.0,2699.46706881686
2023-09-04,954562.0,1128234.9359809272
2023-09-05,1011177.0,973689.4301155048
2023-09-06,1034343.0,1012874.2458085779
2023-09-07,1188909.0,944479.9025507065
2023-09-08,924883.0,841838.5404226503
2023-09-09,3600.0,63908.88936872278
2023-09-10,3600.0,1837.665882977195
2023-09-11,1207291.0,967457.9782997692
2023-09-12,911369.0,1019428.8321605923
2023-09-13,848544.0,984958.4467699191
2023-09-14,1053873.0,846821.0194754703
2023-09-15,958335.0,747917.3588221684
2023-09-16,3600.0,61066.7167802983
2023-09-17,3600.0,1793.5242963796427
2023-09-18,1313324.0,952847.2051370569
2023-09-19,1300838.0,1059251.3967403842
2023-09-20,1558018.0,1206651.426682144
2023-09-21,1281051.0,1288046.8142286697
2023-09-22,1229651.0,1014679.4077779334
2023-09-23,227385.0,79557.6050417136
2023-09-24,3600.0,8824.13933735845
2023-09-25,1171721.0,2198067.1356363436
2023-09-26,1249771.0,1578429.6587089275
2023-09-27,1257222.0,1449041.643344695
2023-09-28,1339688.0,1256502.9732969087
2023-09-29,1381580.0,1027456.5300080104
2023-09-30,,86828.69440535046
2023-10-01,,4854.654084083122
2023-10-02,,1716843.521034443
2023-10-03,,1612680.2095894378
2023-10-04,,1655468.1339554382
2023-10-05,,1542848.5128306223
2023-10-06,,1222007.213666168
